EVSE_Type,Year,Accessibility
All EVSE,Year2014,31.37753717
All EVSE,Year2014,18.15577465
All EVSE,Year2014,52.9555432
All EVSE,Year2014,51.05677863
All EVSE,Year2014,40.25399209
All EVSE,Year2014,27.37157133
All EVSE,Year2014,5.967868513
All EVSE,Year2014,10.71867162
All EVSE,Year2014,15.25080977
All EVSE,Year2014,12.48717618
All EVSE,Year2014,7.222917583
All EVSE,Year2014,20.69330079
All EVSE,Year2014,13.94196163
All EVSE,Year2014,9.38055478
All EVSE,Year2014,14.97065244
All EVSE,Year2014,5.401466848
All EVSE,Year2014,66.60516081
All EVSE,Year2014,32.63475694
All EVSE,Year2014,29.37549093
All EVSE,Year2014,48.85033238
All EVSE,Year2014,35.68110085
All EVSE,Year2014,33.03723285
All EVSE,Year2014,243.4920476
All EVSE,Year2014,213.9117307
All EVSE,Year2014,76.89070532
All EVSE,Year2014,98.2737013
All EVSE,Year2014,202.653949
All EVSE,Year2014,103.7563433
All EVSE,Year2014,32.34265312
All EVSE,Year2014,63.8880052
All EVSE,Year2014,41.3037938
All EVSE,Year2014,41.85657147
All EVSE,Year2014,71.58101085
All EVSE,Year2014,28.60465116
All EVSE,Year2014,18.64818641
All EVSE,Year2014,49.24914005
All EVSE,Year2014,26.56407023
All EVSE,Year2014,64.02043566
All EVSE,Year2014,69.75631251
All EVSE,Year2014,5.614087409
All EVSE,Year2014,28.53060021
All EVSE,Year2014,47.00284834
All EVSE,Year2014,294.6417717
All EVSE,Year2014,137.8080614
All EVSE,Year2014,56.21478111
All EVSE,Year2014,308.0616944
All EVSE,Year2014,72.70945014
All EVSE,Year2014,24.44197748
All EVSE,Year2014,105.8943811
All EVSE,Year2014,58.34759036
All EVSE,Year2014,33.27432604
All EVSE,Year2014,34.60382623
All EVSE,Year2014,199.9336676
All EVSE,Year2014,15.51401801
All EVSE,Year2014,490.6253505
All EVSE,Year2014,56.80596059
All EVSE,Year2014,172.6470653
All EVSE,Year2014,137.1603625
All EVSE,Year2014,298.1102183
All EVSE,Year2014,234.0218
All EVSE,Year2014,164.6740521
All EVSE,Year2014,206.9492701
All EVSE,Year2014,242.626359
