EVSE_Type,Year,Accessibility
All EVSE,Year2014,1.3983520076688396
All EVSE,Year2014,0.4142222025685952
All EVSE,Year2014,1.6832619967631717
All EVSE,Year2014,0.9382500234424604
All EVSE,Year2014,2.106916639254235
All EVSE,Year2014,0.8544234711107139
All EVSE,Year2014,0.4010436622253499
All EVSE,Year2014,0.4039378627875239
All EVSE,Year2014,0.9501900514739468
All EVSE,Year2014,0.5718291847756818
All EVSE,Year2014,0.4224920854345548
All EVSE,Year2014,1.340627956364178
All EVSE,Year2014,0.43082059124747
All EVSE,Year2014,0.2902430694097049
All EVSE,Year2014,1.2623651259355786
All EVSE,Year2014,0.5913600576064173
All EVSE,Year2014,2.987128501461897
All EVSE,Year2014,0.9088537432060168
All EVSE,Year2014,2.274178394862852
All EVSE,Year2014,2.5832735341376964
All EVSE,Year2014,1.726203026504324
All EVSE,Year2014,23.769229532375864
All EVSE,Year2014,7.339890835845679
All EVSE,Year2014,1.6366359059811373
All EVSE,Year2014,2.159021721672444
All EVSE,Year2014,6.409929613458445
All EVSE,Year2014,1.5827136753012738
All EVSE,Year2014,1.802152423261464
All EVSE,Year2014,2.749473626029409
All EVSE,Year2014,1.96496067849284
All EVSE,Year2014,1.2400267641691056
All EVSE,Year2014,4.650157416478576
All EVSE,Year2014,0.6636263358099852
All EVSE,Year2014,0.6825706446249812
All EVSE,Year2014,3.3099333031338456
All EVSE,Year2014,1.0039126731835577
All EVSE,Year2014,2.521044732802112
All EVSE,Year2014,3.204372267079636
All EVSE,Year2014,0.1001394079582347
All EVSE,Year2014,1.5807137333221155
All EVSE,Year2014,2.3659072803000307
All EVSE,Year2014,13.214400681713006
All EVSE,Year2014,6.650326722336061
All EVSE,Year2014,1.813203786252588
All EVSE,Year2014,11.41139141650699
All EVSE,Year2014,2.890345988563184
All EVSE,Year2014,1.2763800003604977
All EVSE,Year2014,5.032628160081545
All EVSE,Year2014,0.4203011032732742
All EVSE,Year2014,0.7035651222643051
All EVSE,Year2014,8.0250369087488
All EVSE,Year2014,0.7587928656626513
All EVSE,Year2014,33.09002152414984
All EVSE,Year2014,8.47713441912118
All EVSE,Year2014,7.599335946137271
All EVSE,Year2014,3.412237440254817
All EVSE,Year2014,10.29825038405239
All EVSE,Year2014,14.702707007959656
All EVSE,Year2014,8.977634101921357
All EVSE,Year2014,8.746469342388739
All EVSE,Year2014,9.267358892052584
All EVSE,Year2014,4.392947831913033
All EVSE,Year2014,10.757342903719156
All EVSE,Year2014,9.008453538101785
All EVSE,Year2014,2.231368920482811
All EVSE,Year2014,10.444455238370152
All EVSE,Year2014,25.347376380967354
All EVSE,Year2014,1.7172329711769465
All EVSE,Year2014,13.097231292949472
All EVSE,Year2014,31.366715947495813
All EVSE,Year2014,12.841350932958385
All EVSE,Year2014,19.477307553358155
All EVSE,Year2014,11.659210931478247
All EVSE,Year2014,0.973157326866816
All EVSE,Year2014,5.93913700643976
All EVSE,Year2014,11.49445988735634
All EVSE,Year2014,17.174263881782245
All EVSE,Year2014,1.5811689082962894
All EVSE,Year2014,6.739940243652301
All EVSE,Year2014,1.800506691806162
All EVSE,Year2014,9.523271805192742
All EVSE,Year2014,28.076433520068644
All EVSE,Year2014,1.0378207886879085
All EVSE,Year2014,2.2274303980442425
All EVSE,Year2014,13.818916314900866
All EVSE,Year2014,9.416616125503024
All EVSE,Year2014,9.906422945291736
All EVSE,Year2014,5.62703716696737
All EVSE,Year2014,1.6741911103655114
