Date,DC_Fast_Count,L1_Count,L2_Count
20140131,686,3024,14241
20140228,845,3102,14571
20140331,898,3270,14872
20140430,1041,3355,15398
20140531,1133,3426,15720
20140630,1187,3472,16056
20140731,1235,3494,16292
20140831,1290,3468,16042
20140930,1309,3556,16530
20141031,1355,3541,16955
20141130,1365,3527,17388
20141231,1465,3379,17373
20150131,1684,3282,17273
20150228,1889,3401,17698
20150430,1979,3377,18603
20150630,2406,3210,19922
20150930,2951,3034,21194
20151130,3270,2994,22686
20151231,3424,2994,23509
20160131,3509,2984,24287
20160229,3552,2971,24533
20160331,3860,2965,25438
20160430,3920,2966,26477
20160531,3969,2948,26970
20160630,4118,2963,27644
20160731,3854,2939,27776
20160831,3939,2924,28617
20160930,4052,2906,29109
20161031,4213,2897,29717
20161130,4277,2911,30380
20161231,4507,2867,31117
20170131,4681,2986,31722
20170228,4710,2942,32180
20170430,4746,2950,33506
20170531,4756,2915,33973
20170630,4835,2883,34399
20170731,4976,2864,34762
20170831,4997,2810,35394
20170930,5011,2722,35875
20171031,5033,2695,36355
20171130,5041,2702,36669
20171231,5334,2620,38164
20180131,6267,2605,38250
20180228,6267,2605,38306
20180331,6606,2450,39553
20180430,6700,2401,40717
20180630,6814,2330,42135
20180731,6787,2303,42715
20180831,8749,2271,43317
20180930,8841,2241,43888
20181031,8919,2208,44925
20181130,9103,2075,45493
20181231,9217,2043,45997
20190131,9686,1853,49407
20190228,9861,1783,49801
20190331,9887,1701,50243
20190430,10303,1690,50278
20190531,10877,1678,51824
20190630,11046,1669,52688
20190731,11570,1669,52896
20190831,12156,1606,54661
20190930,12407,1602,55425
20191031,11772,1562,56147
20191130,11770,1580,57033
20191231,12424,1545,61711
20200131,12869,1514,62597
20200229,13223,1504,63661
20200331,13574,1492,64334
20200430,13825,1522,65142
20200531,14296,1518,66084
20200630,14410,1497,66707
20200731,14862,1493,68080
20200831,15503,1467,69832
20200930,15810,1454,71107
20201031,16202,1433,72268
20201130,16717,1437,76122
20201231,17391,1424,77569
20210131,16580,1388,80092
20210228,17127,1390,81130
20210331,17379,1376,81946
20210430,16397,1363,82755
20210531,18126,1347,84667
20210630,18644,1342,85573
20210731,18875,1301,86381
20210930,19862,1292,87928
20211031,20347,1294,89295
20211130,21075,1297,90237
20211231,21665,1227,91677
20220131,22021,1172,92314
20220228,22445,1169,93426
20220331,22900,1079,91895
20220430,23424,950,93716
20220531,23926,945,95318
20220630,24456,945,96412
20220731,25014,955,98280
20220831,25483,920,99782
20220930,25706,869,94294
20221031,26314,865,97023
20221130,26258,864,98270
20221231,27854,882,100652
20230131,28408,852,100274
20230228,28994,804,100828
20230331,29731,803,104026
20230430,30570,803,104273
20230531,30387,806,106156
20230630,31456,788,108241
20230731,32523,890,109554
20230831,33324,919,111305
20230930,34529,920,117362
20231031,35088,920,118758
20231130,36490,924,120704
20231231,37572,755,122099
20240131,38600,768,123684
20240229,39579,762,124718
20240331,40645,764,126667
20240430,41806,815,131227
20240531,42427,813,132085
20240630,43570,807,133967
20240731,44222,810,134888
20240831,45561,801,136093
20240930,46660,801,138599
20241031,47959,796,143187
20241130,49147,789,144614
20241231,49867,788,145038
