,Year,EVSE_Count
5,2014,1.0
6,2014,14.0
10,2014,2.0
38,2014,4.0
45,2014,1.0
52,2014,1.0
63,2014,1.0
90,2014,2.0
101,2014,2.0
105,2014,4.0
106,2014,3.0
116,2014,10.0
124,2014,1.0
126,2014,3.0
128,2014,10.0
129,2014,1.0
141,2014,1.0
149,2014,1.0
150,2014,2.0
162,2014,1.0
168,2014,1.0
169,2014,4.0
170,2014,1.0
172,2014,4.0
173,2014,2.0
174,2014,4.0
175,2014,1.0
177,2014,1.0
178,2014,1.0
180,2014,1.0
185,2014,1.0
186,2014,3.0
188,2014,2.0
201,2014,2.0
202,2014,22.0
206,2014,2.0
208,2014,52.0
209,2014,2.0
213,2014,1.0
214,2014,4.0
217,2014,4.0
218,2014,8.0
219,2014,4.0
221,2014,2.0
223,2014,1.0
226,2014,2.0
227,2014,1.0
228,2014,1.0
229,2014,1.0
230,2014,1.0
231,2014,1.0
232,2014,1.0
233,2014,2.0
234,2014,4.0
235,2014,4.0
236,2014,1.0
237,2014,1.0
238,2014,2.0
239,2014,2.0
240,2014,2.0
241,2014,2.0
242,2014,2.0
243,2014,1.0
244,2014,4.0
245,2014,3.0
247,2014,2.0
249,2014,1.0
250,2014,1.0
253,2014,1.0
254,2014,1.0
255,2014,2.0
256,2014,2.0
257,2014,3.0
258,2014,2.0
259,2014,5.0
260,2014,1.0
261,2014,1.0
264,2014,4.0
265,2014,4.0
266,2014,4.0
267,2014,4.0
268,2014,3.0
271,2014,1.0
272,2014,1.0
274,2014,1.0
275,2014,1.0
277,2014,2.0
278,2014,1.0
279,2014,1.0
280,2014,1.0
281,2014,1.0
282,2014,1.0
283,2014,3.0
284,2014,1.0
285,2014,1.0
286,2014,4.0
289,2014,2.0
290,2014,1.0
291,2014,1.0
292,2014,2.0
293,2014,1.0
294,2014,1.0
295,2014,1.0
296,2014,1.0
297,2014,1.0
298,2014,1.0
299,2014,1.0
300,2014,1.0
301,2014,1.0
302,2014,1.0
303,2014,1.0
304,2014,1.0
305,2014,1.0
306,2014,2.0
307,2014,1.0
308,2014,1.0
310,2014,2.0
311,2014,2.0
312,2014,2.0
314,2014,2.0
315,2014,2.0
316,2014,2.0
317,2014,2.0
318,2014,2.0
