,Year,EVSE_Count
244,2014,2.0
463,2014,1.0
520,2014,2.0
566,2014,1.0
584,2014,1.0
606,2014,1.0
630,2014,1.0
655,2014,1.0
669,2014,1.0
670,2014,1.0
671,2014,1.0
679,2014,1.0
684,2014,1.0
687,2014,1.0
688,2014,1.0
692,2014,1.0
693,2014,1.0
698,2014,1.0
704,2014,1.0
706,2014,1.0
726,2014,1.0
731,2014,1.0
734,2014,1.0
736,2014,1.0
738,2014,1.0
739,2014,1.0
740,2014,1.0
741,2014,1.0
748,2014,1.0
749,2014,1.0
750,2014,1.0
756,2014,1.0
757,2014,1.0
759,2014,1.0
760,2014,1.0
764,2014,1.0
769,2014,1.0
776,2014,1.0
780,2014,1.0
782,2014,1.0
784,2014,1.0
792,2014,1.0
806,2014,1.0
808,2014,1.0
809,2014,1.0
810,2014,1.0
814,2014,1.0
815,2014,1.0
818,2014,1.0
829,2014,1.0
834,2014,1.0
837,2014,1.0
839,2014,1.0
840,2014,1.0
841,2014,1.0
842,2014,1.0
843,2014,1.0
849,2014,1.0
858,2014,1.0
861,2014,1.0
864,2014,1.0
919,2014,1.0
1034,2014,1.0
1057,2014,1.0
1111,2014,1.0
1151,2014,1.0
1153,2014,1.0
1154,2014,1.0
1155,2014,1.0
1309,2014,1.0
1310,2014,1.0
1311,2014,1.0
1375,2014,1.0
1376,2014,1.0
1500,2014,1.0
1687,2014,1.0
1688,2014,1.0
1748,2014,1.0
1754,2014,1.0
1955,2014,1.0
2038,2014,1.0
2039,2014,1.0
2040,2014,1.0
2041,2014,1.0
2129,2014,2.0
2130,2014,2.0
2131,2014,2.0
2175,2014,1.0
2176,2014,1.0
2179,2014,1.0
2181,2014,1.0
2185,2014,1.0
2187,2014,1.0
2189,2014,1.0
2191,2014,1.0
2204,2014,1.0
2205,2014,1.0
2206,2014,1.0
2254,2014,1.0
2260,2014,1.0
2274,2014,1.0
2278,2014,1.0
2279,2014,1.0
2280,2014,1.0
2284,2014,1.0
2287,2014,1.0
2291,2014,1.0
2304,2014,1.0
2305,2014,1.0
2308,2014,1.0
2315,2014,1.0
2339,2014,1.0
2489,2014,2.0
2492,2014,2.0
2493,2014,2.0
2494,2014,2.0
2505,2014,2.0
2511,2014,2.0
2523,2014,2.0
2533,2014,2.0
2538,2014,2.0
2711,2014,2.0
2814,2014,1.0
2844,2014,1.0
2852,2014,1.0
2853,2014,1.0
2854,2014,1.0
2859,2014,1.0
2861,2014,1.0
2960,2014,1.0
3025,2014,1.0
3031,2014,1.0
3032,2014,1.0
3033,2014,1.0
3039,2014,1.0
3043,2014,1.0
3057,2014,1.0
3059,2014,1.0
3067,2014,1.0
3072,2014,1.0
3074,2014,1.0
3076,2014,1.0
3077,2014,1.0
3099,2014,1.0
3127,2014,2.0
3151,2014,1.0
3176,2014,4.0
3180,2014,1.0
3187,2014,1.0
3189,2014,1.0
3202,2014,1.0
3228,2014,1.0
3229,2014,1.0
3248,2014,1.0
3249,2014,1.0
3283,2014,1.0
3284,2014,1.0
3285,2014,1.0
3286,2014,1.0
3287,2014,1.0
3288,2014,1.0
3289,2014,1.0
3290,2014,1.0
3291,2014,1.0
3292,2014,1.0
3293,2014,1.0
3294,2014,1.0
3295,2014,1.0
3296,2014,1.0
3297,2014,1.0
3298,2014,1.0
3340,2014,1.0
3403,2014,1.0
3468,2014,1.0
3469,2014,1.0
3476,2014,1.0
3506,2014,2.0
3540,2014,1.0
3556,2014,1.0
3615,2014,2.0
3619,2014,2.0
3686,2014,1.0
3727,2014,1.0
3728,2014,1.0
3730,2014,1.0
3732,2014,1.0
3733,2014,1.0
